node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10592935,6.892841754118124e-05,6.752923826529199e-05,1.3991792758892503e-06,0.0027980620668918155,0.0040650406504065045,4.765903913823337,58.0,0.0,2.920538098919704,2.920538098919704,urumchi
bus_BV10308562,6.892841754118124e-05,6.854238548076417e-05,3.8603206041707143e-07,0.000935864673968112,0.0040650406504065045,6.016917653056572,38.0,0.0,1.3692029734577806,1.3692029734577806,urumchi
bus_BV10308469,6.892841754118124e-05,6.839881957298002e-05,5.295979682012214e-07,4.765977506315799e-06,0.0,6.776940359859028,16.0,0.09090909090909091,0.9862367626529942,0.9862367626529942,urumchi
bus_BV10308039,6.892841754118124e-05,6.85370642096766e-05,3.913533315046423e-07,0.000935864673968112,0.0020325203252032522,4.6347650849526145,58.0,0.0,0.7316078580213359,0.7316078580213359,urumchi
bus_BV10860666,6.892841754118124e-05,6.8576221350238e-05,3.521961909432378e-07,4.765977506315799e-06,0.0,5.919906106835663,16.0,0.09090909090909091,0.7124377283487544,0.7124377283487544,urumchi
bus_BV09156951,6.892841754118124e-05,6.854961039558782e-05,3.788071455934199e-07,0.0004703153257371584,0.0020325203252032522,5.779416907742085,10.5,0.0,0.6685149337824097,0.6685149337824097,urumchi
bus_BV10881705,6.892841754118124e-05,6.868575001197617e-05,2.426675292050638e-07,4.765977506315799e-06,0.0,10.83054024727128,2.0,0.0,0.6046079113567917,0.6046079113567917,urumchi
bus_BV10308849,6.892841754118124e-05,6.87240030085594e-05,2.044145326218381e-07,0.0004703153257371584,0.0020325203252032522,5.474535192654606,26.5,0.0,0.4753673122250502,0.4753673122250502,urumchi
bus_BV10307773,6.892841754118124e-05,6.890733831397239e-05,2.1079227208851037e-08,4.765977506315799e-06,0.0,6.925975655797032,7.0,0.07692307692307693,0.46088753303594426,0.46088753303594426,urumchi
bus_BV10308088,6.892841754118124e-05,6.891154322021621e-05,1.6874320965027832e-08,4.765977506315799e-06,0.0,5.908772354108219,16.0,0.09090909090909091,0.4223593371865498,0.4223593371865498,urumchi
bus_BV10307774,6.892841754118124e-05,6.881454352761744e-05,1.1387401356379736e-07,4.765977506315799e-06,0.0,10.043468439345519,1.0,0.0,0.38252163773032133,0.38252163773032133,urumchi
bus_BV11100558,6.892841754118124e-05,6.892841754118124e-05,0.0,4.765977506315799e-06,0.0,5.990908805321766,7.0,0.07692307692307693,0.31055322015529885,0.31055322015529885,urumchi
bus_BV10308030,6.892841754118124e-05,6.852510558584505e-05,4.03311955336186e-07,4.765977506315799e-06,0.0,7.485919343971062,16.0,0.0,0.2699663880819171,0.2699663880819171,urumchi
bus_BV10307776,6.892841754118124e-05,6.864508263133047e-05,2.8333490985077154e-07,4.765977506315799e-06,0.0,8.142728050412815,3.0,0.0,0.25959900398080865,0.25959900398080865,urumchi
bus_BV10307953,6.892841754118124e-05,6.878557483055636e-05,1.4284271062487384e-07,4.765977506315799e-06,0.0,8.538351794223384,16.0,0.0,0.19465490040877126,0.19465490040877126,urumchi
bus_BV11611145,6.892841754118124e-05,6.886749729746627e-05,6.092024371496651e-08,0.0004703153257371584,0.0,7.032837409952966,7.0,0.0,0.12545072439177918,0.12545072439177918,urumchi
bus_BV10308000,6.892841754118124e-05,6.885838059037775e-05,7.003695080349181e-08,4.765977506315799e-06,0.0,7.344998757927973,4.0,0.0,-0.036699962302293,-0.036699962302293,urumchi
bus_BV09200182,6.892841754118124e-05,6.870599219911782e-05,2.2242534206342202e-07,4.765977506315799e-06,0.0,6.261775642938186,16.0,0.0,-0.058732240050883726,-0.058732240050883726,urumchi
