node,mean_score,std_score,boot_times,stability_score,city
bus_BV10183694,0.4395475782420659,0.025176373659143783,10,17.45872577225471,Hangzhou
bus_BV10383571,0.7464627782051447,0.04282330145024664,10,17.43122502500552,Hangzhou
bus_BV10844476,3.4607803216759527,0.24141956988809202,10,14.335126932455802,Hangzhou
bus_BV11148787,0.32693856771394586,0.03411330419761226,10,9.583899289879895,Hangzhou
bus_BV10181603,0.5917301483462275,0.06685217299551699,10,8.851321255820594,Hangzhou
bus_BV09208763,0.5269813641531554,0.08210262565760461,10,6.418568173022407,Hangzhou
bus_BV10181431,0.650014418325674,0.12387714227920121,9,5.247250250479082,Hangzhou
bus_BV10181063,0.3562475071419986,0.08817043356913241,10,4.040441362446738,Hangzhou
bus_BV10180736,0.4361081513920867,0.12196738653255307,10,3.575612530810146,Hangzhou
bus_BV09062684,0.9256345125667546,0.27791694093234687,10,3.330615529068902,Hangzhou
bus_BV10181321,0.023702288970172854,0.04003623978407143,10,0.5920207086829321,Hangzhou
bus_BV10183395,0.006093544172027875,0.0809438785993238,10,0.07528109011652771,Hangzhou
bus_BV10181692,-0.03531494474459083,0.2827014478178572,10,-0.12491957069193477,Hangzhou
bus_BV10183824,-0.35856273252230697,0.0,1,-0.35856273252230697,Hangzhou
bus_BV10183642,-0.12332173983879777,0.2220128661161764,10,-0.5554711149918401,Hangzhou
bus_BV10180532,-0.08495868986477051,0.10794124617601274,10,-0.7870826491608912,Hangzhou
bus_BV10180669,-0.08729024534495852,0.10840350831378032,10,-0.8052344306048427,Hangzhou
bus_BV11315946,-0.13745393694902244,0.16522110927583836,10,-0.8319392675190735,Hangzhou
bus_BV10180528,-0.14634564744136863,0.15187517992418406,10,-0.9635915353549466,Hangzhou
bus_BV10181860,-0.25604038496405196,0.25041898121811706,6,-1.0224479530030477,Hangzhou
bus_BV11600877,-0.22548414206840967,0.16299811866083205,10,-1.3833541766457889,Hangzhou
bus_BV10181363,-0.02830999864710019,0.020428906979653997,10,-1.3857806889760864,Hangzhou
bus_BV10184121,-0.04684862536516066,0.03077284883343398,10,-1.5224008149109869,Hangzhou
bus_BV10184571,-0.22429040552949578,0.13779333132858698,10,-1.6277303632157725,Hangzhou
bus_BV09010740,-0.17015192731195614,0.10289189461476342,10,-1.653695963244342,Hangzhou
bus_BV10181183,-0.04747321122438379,0.026263703789693862,10,-1.8075589615590748,Hangzhou
bus_BV10180590,-0.07304048641051815,0.03954343833001584,10,-1.8470945123689693,Hangzhou
bus_BV10184378,-0.24971747300751357,0.12090279664235688,10,-2.065439835042076,Hangzhou
bus_BV10180577,-0.2110676844562281,0.08453921550371926,10,-2.496683441309056,Hangzhou
bus_BV10509231,-0.17412544550964,0.06904406217606361,10,-2.521946345598171,Hangzhou
bus_BV10180654,-0.14432668759249362,0.05575228979865998,10,-2.5887127188242474,Hangzhou
bus_BV09009899,-0.23232373133556483,0.0845706618789796,10,-2.7470957268498406,Hangzhou
bus_BV10183109,-0.3271780298004607,0.11012597351560141,9,-2.9709430904116267,Hangzhou
bus_BV10389490,-0.30687798723277837,0.09285454444439761,10,-3.304931988193864,Hangzhou
bus_BV10180688,-0.34507655630892364,0.10423644552740294,10,-3.310516983361985,Hangzhou
bus_BV10182818,-0.2111533203948759,0.06351324504751121,10,-3.3245551694197104,Hangzhou
bus_BV10646921,-0.35409266115770005,0.09731674076764953,10,-3.638558196451922,Hangzhou
bus_BV10180734,-0.07472401731375203,0.019592933562241902,10,-3.813822924379506,Hangzhou
bus_BV10186046,-0.16660629412465472,0.036457833241833555,10,-4.569834068886508,Hangzhou
bus_BV10182792,-0.31625024284055814,0.060455448603115296,10,-5.231128009742062,Hangzhou
bus_BV10426889,-0.34970886443308064,0.058592646390043766,10,-5.968476016945089,Hangzhou
bus_BV10944260,-0.2938635396562707,0.047785508991994116,10,-6.149635828073856,Hangzhou
bus_BV10183673,-0.36369277669742894,0.047225515977712504,10,-7.701190599106703,Hangzhou
bus_BV10184436,-0.3410711647648282,0.04355258676831238,3,-7.831247504694869,Hangzhou
bus_BV10180643,-0.35553325352934945,0.04337473148680329,10,-8.19678092231443,Hangzhou
bus_BV10338221,-0.2671346659832848,0.029966190576680103,10,-8.914532401253789,Hangzhou
bus_BV10838153,-0.32014554554515195,0.03581671944947599,10,-8.9384360455568,Hangzhou
bus_BV10943967,-0.1966757991723767,0.020264493581572885,10,-9.705433857813317,Hangzhou
bus_BV10187127,-0.4014811220236673,0.032830595888645224,10,-12.22886727663236,Hangzhou
bus_BV09264164,-0.31652240277650845,0.022714083061244582,10,-13.9350667412985,Hangzhou
bus_BV10181460,-0.32165333992997025,0.018231014602348543,10,-17.643185007195616,Hangzhou
bus_BV11070627,-0.35538700008116486,0.019788958055812864,10,-17.958844497541776,Hangzhou
bus_BV10180649,-0.4027662337432335,0.005253493679798506,2,-76.66621331055796,Hangzhou
